INFO 2025-07-15 15:23:32,654 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:23:32,663 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:23:32,695 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:30:13,177 basehttp "POST /api/auth/google/ HTTP/1.1" 200 365
INFO 2025-07-15 15:30:13,337 basehttp "GET /api/me/ HTTP/1.1" 200 567
INFO 2025-07-15 15:30:13,474 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:30:13,505 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:30:13,506 basehttp "GET /api/pelamar/lamaran/ HTTP/1.1" 200 3382
INFO 2025-07-15 15:30:13,564 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:30:18,169 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:30:18,271 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:30:29,207 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:30:29,213 basehttp "GET /api/v1/informasi/ HTTP/1.1" 200 240
INFO 2025-07-15 15:30:33,120 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-15 15:30:33,215 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:30:33,225 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:30:33,231 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:30:33,242 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:30:38,531 basehttp "GET /admin/users/user/ HTTP/1.1" 200 18762
INFO 2025-07-15 15:30:38,693 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-07-15 15:30:38,905 log Not Found: /favicon.ico
INFO 2025-07-15 15:30:38,906 basehttp - Broken pipe from ('127.0.0.1', 50172)
INFO 2025-07-15 15:30:40,195 basehttp "GET /admin/users/user/5/change/ HTTP/1.1" 200 35585
INFO 2025-07-15 15:30:40,235 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2025-07-15 15:30:40,240 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2025-07-15 15:30:40,278 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-15 15:30:40,356 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-07-15 15:30:40,375 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-07-15 15:30:43,114 basehttp "POST /admin/users/user/5/change/ HTTP/1.1" 302 0
INFO 2025-07-15 15:30:43,379 basehttp "GET /admin/users/user/ HTTP/1.1" 200 18984
INFO 2025-07-15 15:30:43,527 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-15 15:30:50,383 basehttp "POST /api/auth/google/ HTTP/1.1" 200 381
INFO 2025-07-15 15:30:50,447 basehttp "GET /api/me/ HTTP/1.1" 200 471
INFO 2025-07-15 15:30:50,597 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 15:30:50,602 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 15:30:54,752 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:30:54,759 basehttp "GET /api/v1/pengaturan-cetak/ HTTP/1.1" 200 128
INFO 2025-07-15 15:30:54,760 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:30:54,838 basehttp "GET /api/v1/pengaturan-cetak/ HTTP/1.1" 200 128
INFO 2025-07-15 15:30:55,881 basehttp "GET /api/formasi/ HTTP/1.1" 200 376
INFO 2025-07-15 15:30:55,912 basehttp "GET /api/v1/lamaran/?formasi=1&status=lolos_verifikasi HTTP/1.1" 200 2417
INFO 2025-07-15 15:30:55,914 basehttp "GET /api/v1/lamaran/?formasi=1&status=lolos_verifikasi HTTP/1.1" 200 2417
INFO 2025-07-15 15:31:11,449 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 15:31:11,566 basehttp "GET /api/v1/dashboard-stats/ HTTP/1.1" 200 358
INFO 2025-07-15 15:31:17,527 basehttp "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2025-07-15 15:31:17,657 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:31:17,670 basehttp "GET /api/public/pengumuman/ HTTP/1.1" 200 240
INFO 2025-07-15 15:31:17,677 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:31:17,693 basehttp "GET /api/public/dashboard-stats/ HTTP/1.1" 200 316
INFO 2025-07-15 15:31:20,623 basehttp "GET /admin/users/user/5/change/ HTTP/1.1" 200 35585
